MSE,SSIM,PixelCorr,PSNR,Sample
0.24997322,0.004178643787533722,-0.14594921,6.0210652543382235,1
0.25000373,0.06360843146223698,-0.10793711,6.020535527363371,2
0.24984978,0.0025719643636267007,-0.077130504,6.023210472850944,3
0.24996915,0.004464371029329909,-0.12665394,6.021135882967339,4
0.24992709,0.003284747139257302,-0.10202566,6.0218664705553095,5
0.24996737,0.0044568873415624126,-0.13463771,6.021167023383358,6
0.24999177,0.0046043467793559795,-0.11009301,6.020742932637887,7
0.2500064,0.0051584062993926694,-0.12626177,6.020488629474807,8
0.25001124,0.005153647828404599,-0.12926777,6.020404658225034,9
0.24989097,0.00277374219113272,-0.11060095,6.022494739329304,10
0.24991958,0.002064922758777845,-0.11040809,6.021997120514905,11
0.24995957,0.0028155005092238084,-0.102198794,6.0213022042121755,12
